,provider,samples,hit_rate,cost
388,Google CDN,100000,0.9,167538.09829135163
389,Google CDN,100000,1.0,146080.22912269813
390,Google CDN,1000000,0.0,3086389.124114358
391,Google CDN,1000000,0.9,1302867.1263116845
392,Google CDN,1000000,1.0,1098556.1143434418
393,Google CDN,1000000,0.0,3087107.3673623735
394,Google CDN,1000000,0.9,1297521.9978371747
395,Google CDN,1000000,1.0,1099855.9938668737
396,Google CDN,1000000,0.0,3092298.840894429
397,Google CDN,1000000,0.9,1297125.202662421
398,Google CDN,1000000,1.0,1100608.6215918472
399,Google CDN,1000000,0.0,3085831.8219189905
400,Google CDN,1000000,0.9,1300884.0120189344
401,Google CDN,1000000,1.0,1100682.4588579664
402,Google CDN,1000000,0.0,3088829.0764268264
403,Google CDN,1000000,0.9,1301542.9061312529
404,Google CDN,1000000,1.0,1101527.0569158455
405,Google CDN,1000000,0.0,3082401.723262395
406,Google CDN,1000000,0.9,1297257.8358364783
407,Google CDN,1000000,1.0,1100253.8817268058
408,Google CDN,1000000,0.0,3090649.7588981735
409,Google CDN,1000000,0.9,1291570.7270647918
410,Google CDN,1000000,1.0,1098176.5140460467
411,Google CDN,1000000,0.0,3093926.551205136
412,Google CDN,1000000,0.9,1300028.2263068943
413,Google CDN,1000000,1.0,1101653.578773774
414,Google CDN,1000000,0.0,3088538.059498951
415,Google CDN,1000000,0.9,1299360.078638986
416,Google CDN,1000000,1.0,1098686.5871969552
417,Google CDN,1000000,0.0,3095512.9181587566
418,Google CDN,1000000,0.9,1305101.2989744684
419,Google CDN,1000000,1.0,1097007.2899740783
420,Google CDN,10000000,0.0,30497167.349197265
421,Google CDN,10000000,0.9,12627000.886581142
422,Google CDN,10000000,1.0,10626711.121639017
423,Google CDN,10000000,0.0,30486349.52973825
424,Google CDN,10000000,0.9,12615721.860997066
425,Google CDN,10000000,1.0,10631019.5589046
426,Google CDN,10000000,0.0,30500327.020782843
427,Google CDN,10000000,0.9,12627376.07042392
428,Google CDN,10000000,1.0,10626659.674338533
429,Google CDN,10000000,0.0,30461491.247397903
430,Google CDN,10000000,0.9,12612255.23962626
431,Google CDN,10000000,1.0,10633238.137174947
432,Google CDN,10000000,0.0,30510247.82740575
433,Google CDN,10000000,0.9,12623784.217769511
434,Google CDN,10000000,1.0,10628543.51495851
435,Google CDN,10000000,0.0,30511837.40898203
436,Google CDN,10000000,0.9,12622584.956488501
437,Google CDN,10000000,1.0,10633665.478258777
438,Google CDN,10000000,0.0,30501054.06161681
439,Google CDN,10000000,0.9,12626410.264441684
440,Google CDN,10000000,1.0,10637178.293385861
441,Google CDN,10000000,0.0,30525804.31569443
442,Google CDN,10000000,0.9,12629622.45488115
443,Google CDN,10000000,1.0,10625069.884742018
444,Google CDN,10000000,0.0,30495260.617894433
445,Google CDN,10000000,0.9,12620594.593452234
446,Google CDN,10000000,1.0,10647617.617557254
447,Google CDN,10000000,0.0,30521230.450227477
448,Google CDN,10000000,0.9,12631668.723326683
449,Google CDN,10000000,1.0,10628505.285145402
